city,year,gdp_per_capita,gdp_total,disposable_income,population,house_price,housing_burden,housing_sales_area,housing_sales_value,population_growth,university_quality,tertiary_ratio,rd_expenditure,innovation_index,listed_company_count,job_posting_count,entry_salary,rent_monthly,rent_burden
Hefei,2024,136063.0,,55832.0,10002000.0,18707.166666666668,0.3350617328175001,,,0.015122297777326654,25.3,60.7,95.0,95.0,82.0,5000.0,56688.0,2200.0,0.472847112766872
Hefei,2025,142071.58568286343,14210.0,58930.0,10002000.0,17449.25,0.2961013066349907,,,0.0,25.3,60.7,105.0,105.0,82.0,4824.0,55554.0,2200.0,0.4479891396572204
Changsha,2021,129605.53944117273,13270.7,62145.0,10239300.0,10170.833333333334,0.16366293882586425,,,0.019048756456573113,33.4,57.22267853240598,98.5,98.5,88.0,9255.0,58319.0,2000.0,0.38619357953174027
Changsha,2022,134024.0485192791,13966.11,65190.0,10420600.0,10927.5,0.16762540266912104,,,0.01770628851581657,33.4,56.746223536833085,105.2,105.2,88.0,6664.0,67784.0,2000.0,0.36815462494247586
Changsha,2023,136324.96599480647,14331.98,67276.0,10513100.0,11475.833333333334,0.17057841330241594,,,0.008876648177648105,33.4,59.40944656635021,112.8,112.8,88.0,5971.0,66898.0,2000.0,0.3567394018669362
Changsha,2024,143821.22168322894,15268.78,63660.0,10616500.0,12299.166666666666,0.1932008587286627,,,0.009835348279765288,33.4,61.08346573858553,120.6,120.6,88.0,5000.0,64680.0,2000.0,0.3770028275212064
Changsha,2025,146788.8522021378,15737.82,72117.0,10721400.0,11015.833333333334,0.15274946730082137,,,0.009880845853153186,33.4,61.89700987811526,132.0,132.0,88.0,4832.0,63386.0,2000.0,0.332792545446982
Qingdao,2021,137826.59139879298,14136.46,51223.0,10256700.0,14565.333333333334,0.2843514306724193,,,0.01836607483804653,14.1,62.0,52.6,52.6,58.0,9255.0,53240.0,2500.0,0.5856744040762939
Qingdao,2022,144271.95637249688,14920.75,53735.0,10342100.0,16133.166666666666,0.3002357246983654,,,0.008326264783019788,14.1,62.0,56.8,56.8,58.0,6664.0,61880.0,2500.0,0.5582953382339257
Qingdao,2023,151958.1545581642,15760.34,56961.0,10371500.0,16184.166666666666,0.2841271513257609,,,0.0028427495382949974,14.1,63.5,60.5,60.5,58.0,5971.0,61071.0,2500.0,0.5266761468373098
Qingdao,2024,160109.74383528848,16719.46,59922.0,10442500.0,17581.833333333332,0.2934119911440428,,,0.006845682880971982,14.1,62.8,64.3,64.3,58.0,5000.0,59400.0,2500.0,0.5006508460999299
Qingdao,2025,166997.9553991726,17560.67,62738.0,10515500.0,17491.0,0.27879435111096945,,,0.006990663155374666,14.1,62.8,70.2,70.2,58.0,4832.0,58212.0,2500.0,0.4781790940100099
Xiamen,2021,133217.61363636365,7033.89,64362.0,5280000.0,35469.0,0.551086044560455,,,0.022469146799845907,9.5,58.60114389050723,50.56,50.56,38.0,5430.0,59642.0,3200.0,0.5966253379323203
