city,year,house_price,source,source_url,source_file
Chongqing,2021,11656.5,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/6/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Chongqing,2022,12033.0,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/6/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Chongqing,2023,12382.25,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/6/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Chongqing,2024,12575.0,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/6/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Chongqing,2025,11196.416666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/6/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Harbin,2021,11809.083333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/156/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Harbin,2022,12054.75,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/156/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Harbin,2023,10907.333333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/156/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Harbin,2024,11029.916666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/156/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Harbin,2025,10571.583333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/156/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Shenyang,2021,11645.083333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/215/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Shenyang,2022,13430.166666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/215/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Shenyang,2023,13314.416666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/215/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Shenyang,2024,13266.166666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/215/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Shenyang,2025,12306.916666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/215/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Kunming,2021,13160.333333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/284/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Kunming,2022,13579.916666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/284/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Kunming,2023,13860.25,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/284/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Kunming,2024,13368.583333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/284/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Kunming,2025,12470.833333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/284/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Nanchang,2021,12016.916666666666,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/204/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Nanchang,2022,11595.083333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/204/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Nanchang,2023,11463.25,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/204/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Nanchang,2024,11294.333333333334,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/204/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Nanchang,2025,10174.0,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/204/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
