city,year,job_posting_count,entry_salary,rent_monthly,source_name,source_url,notes
Chongqing,2021,9307,60106,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chongqing,2022,6701,69861,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chongqing,2023,5992,68948,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chongqing,2024,5000,67188,2200,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Chongqing,2025,4829,65844,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Harbin,2021,2000,48112,1600,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Harbin,2022,1440,55920,1600,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Harbin,2023,1276,57022,1600,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Harbin,2024,1050,55860,1600,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Harbin,2025,1011,54743,1600,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shenyang,2021,4828,46129,1700,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shenyang,2022,3476,53615,1700,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shenyang,2023,3089,53960,1700,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shenyang,2024,2550,52812,1700,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Shenyang,2025,2458,51756,1700,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Kunming,2021,2441,48556,1800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Kunming,2022,1757,56436,1800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Kunming,2023,1566,55698,1800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Kunming,2024,1300,54336,1800,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Kunming,2025,1254,53249,1800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanchang,2021,1877,49511,1900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanchang,2022,1352,57546,1900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanchang,2023,1205,56794,1900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanchang,2024,1000,55176,1900,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Nanchang,2025,965,54072,1900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
